location_name,date,baseline_timestamp,baseline_action,baseline_waste_liters,dss_timestamp,dss_action,dss_waste_liters,avoided_risky_operation,recommendation_text
Can Tho,2026-05-29,2026-05-29 12:00:00,RETURN_TO_CHARGING,0.0,2026-05-29 08:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 6.1 km/h, gio giat 8.4 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Can Tho,2026-05-30,2026-05-30 12:00:00,RETURN_TO_CHARGING,80.0,2026-05-30 17:00:00,TAKE_OFF,20.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 16.6 km/h, gio giat 25.0 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
Dong Thap,2026-05-25,2026-05-25 12:00:00,RETURN_TO_CHARGING,60.0,2026-05-25 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 7.9 km/h, gio giat 13.2 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Dong Thap,2026-05-26,2026-05-26 12:00:00,LOCK_SPRAY,20.0,2026-05-26 11:00:00,LOCK_SPRAY,0.0,0,LOCK_SPRAY: Khoa lenh phun vi gio/gio giat vuot nguong an toan (24.1/27.8 km/h). Tranh pesticide drift va mat on dinh UAV.
Dong Thap,2026-05-27,2026-05-27 12:00:00,RETURN_TO_CHARGING,80.0,2026-05-27 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 10.8 km/h, gio giat 18.7 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Dong Thap,2026-05-28,2026-05-28 12:00:00,RETURN_TO_CHARGING,100.0,2026-05-28 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 9.4 km/h, gio giat 16.6 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Dong Thap,2026-05-29,2026-05-29 12:00:00,TAKE_OFF,0.0,2026-05-29 06:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 1.1 km/h, gio giat 1.9 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Dong Thap,2026-05-30,2026-05-30 12:00:00,RETURN_TO_CHARGING,80.0,2026-05-30 16:00:00,TAKE_OFF,20.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 18.4 km/h, gio giat 26.5 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
Long An,2026-05-25,2026-05-25 12:00:00,RETURN_TO_CHARGING,40.0,2026-05-25 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 5.4 km/h, gio giat 8.3 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Long An,2026-05-26,2026-05-26 12:00:00,DELAY_FLIGHT,60.0,2026-05-26 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 9.7 km/h, gio giat 14.2 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Long An,2026-05-27,2026-05-27 12:00:00,DELAY_FLIGHT,60.0,2026-05-27 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 7.6 km/h, gio giat 11.3 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Long An,2026-05-28,2026-05-28 12:00:00,TAKE_OFF,0.0,2026-05-28 07:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 7.2 km/h, gio giat 9.0 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Long An,2026-05-29,2026-05-29 12:00:00,TAKE_OFF,0.0,2026-05-29 08:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 2.5 km/h, gio giat 3.3 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Long An,2026-05-30,2026-05-30 12:00:00,TAKE_OFF,0.0,2026-05-30 10:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 11.5 km/h, gio giat 13.9 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-25,2026-05-25 12:00:00,DELAY_FLIGHT,40.0,2026-05-25 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 5.0 km/h, gio giat 8.8 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-26,2026-05-26 12:00:00,DELAY_FLIGHT,60.0,2026-05-26 08:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 13.7 km/h, gio giat 17.9 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-27,2026-05-27 12:00:00,RETURN_TO_CHARGING,80.0,2026-05-27 07:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 10.4 km/h, gio giat 14.3 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-28,2026-05-28 12:00:00,RETURN_TO_CHARGING,60.0,2026-05-28 06:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 6.1 km/h, gio giat 9.9 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-29,2026-05-29 12:00:00,TAKE_OFF,0.0,2026-05-29 09:00:00,TAKE_OFF,0.0,0,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 1.4 km/h, gio giat 2.0 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
Tien Giang,2026-05-30,2026-05-30 12:00:00,RETURN_TO_CHARGING,60.0,2026-05-30 10:00:00,TAKE_OFF,0.0,1,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 7.6 km/h, gio giat 11.4 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
